supplier,part_name,part_no,quantity,price,total
AndyMark,"Pulley, 42 Tooth",am-2234,1,9.0,=SUM(D2 * E2)
REV Robotics,SPARK Motor Controller,rev-11-1200 ,8,40.0,=SUM(D3 * E3)
AndyMark,AndyMark 775 RedLine Motor,am-3775a,5,19.0,=SUM(D4 * E4)
REV Robotics,NEO Brushless Motor,rev-21-1650 ,4,40.0,=SUM(D5 * E5)
